hour,Q_CFS,Q_CMS
0,19.966,0.5654
1,19.933,0.5644
2,19.899,0.5635
3,19.866,0.5625
4,19.833,0.5616
5,19.940,0.5646
6,20.772,0.5882
7,23.453,0.6641
8,29.516,0.8358
9,40.674,1.1517
10,59.142,1.6747
11,89.695,2.5399
12,150.306,4.2562
13,253.035,7.1651
14,390.320,11.0526
15,554.590,15.7042
16,741.515,20.9973
17,947.634,26.8340
18,1169.804,33.1251
19,1405.016,39.7855
20,1650.181,46.7278
21,1901.464,53.8434
22,2151.078,60.9116
23,2388.473,67.6339
24,2606.478,73.8071
25,2801.122,79.3188
26,2969.096,84.0753
27,3107.633,87.9982
28,3214.349,91.0201
29,3286.873,93.0737
30,3321.925,94.0663
31,3313.930,93.8399
32,3260.450,92.3255
33,3178.378,90.0015
34,3085.650,87.3757
35,2985.579,84.5420
36,2880.310,81.5612
37,2771.562,78.4818
38,2660.685,75.3421
39,2548.838,72.1749
40,2437.066,69.0099
41,2326.329,65.8742
42,2217.574,62.7946
43,2111.911,59.8026
44,2010.655,56.9353
45,1914.365,54.2087
46,1822.790,51.6156
47,1735.693,49.1493
