hour,Q_CFS,Q_CMS
0,19.966,0.5654
1,19.933,0.5644
2,19.899,0.5635
3,19.866,0.5625
4,19.833,0.5616
5,19.799,0.5606
6,19.766,0.5597
7,19.733,0.5588
8,19.699,0.5578
9,19.980,0.5658
10,21.720,0.6150
11,27.797,0.7871
12,48.845,1.3831
13,92.010,2.6054
14,153.055,4.3340
15,227.855,6.4521
16,314.182,8.8966
17,410.452,11.6227
18,515.429,14.5953
19,628.032,17.7838
20,747.058,21.1543
21,870.743,24.6566
22,994.944,28.1736
23,1113.888,31.5417
24,1223.868,34.6560
25,1323.161,37.4677
26,1410.422,39.9387
27,1484.435,42.0345
28,1543.790,43.7152
29,1586.531,44.9255
30,1609.988,45.5897
31,1610.391,45.6011
32,1585.938,44.9087
33,1546.187,43.7831
34,1501.255,42.5108
35,1452.791,41.1384
36,1401.881,39.6968
37,1349.354,38.2094
38,1295.868,36.6948
39,1241.975,35.1688
40,1188.164,33.6450
41,1134.887,32.1364
42,1082.590,30.6555
43,1031.802,29.2173
44,983.147,27.8396
45,936.889,26.5297
46,892.900,25.2841
47,851.066,24.0995
