hour,Q_CFS,Q_CMS
0,19.966,0.5654
1,19.933,0.5644
2,19.899,0.5635
3,19.866,0.5625
4,19.833,0.5616
5,19.799,0.5606
6,19.766,0.5597
7,19.813,0.5610
8,20.480,0.5799
9,22.910,0.6487
10,28.863,0.8173
11,41.970,1.1885
12,75.483,2.1374
13,138.319,3.9167
14,225.101,6.3741
15,330.504,9.3588
16,451.633,12.7888
17,586.383,16.6045
18,732.923,20.7540
19,889.415,25.1854
20,1053.866,29.8421
21,1223.689,34.6509
22,1393.398,39.4566
23,1555.499,44.0468
24,1705.072,48.2822
25,1839.679,52.0938
26,1957.344,55.4257
27,2056.125,58.2229
28,2133.832,60.4233
29,2188.136,61.9610
30,2216.260,62.7574
31,2213.922,62.6912
32,2179.185,61.7075
33,2124.244,60.1518
34,2062.045,58.3905
35,1994.884,56.4887
36,1924.263,54.4890
37,1851.390,52.4254
38,1777.236,50.3256
39,1702.598,48.2121
40,1628.148,46.1039
41,1554.499,44.0184
42,1482.256,41.9727
43,1412.127,39.9869
44,1344.950,38.0847
45,1281.074,36.2759
46,1220.329,34.5558
47,1162.558,32.9199
