hour,Q_CFS,Q_CMS
0,19.966,0.5654
1,19.933,0.5644
2,19.899,0.5635
3,19.866,0.5625
4,19.927,0.5643
5,20.624,0.5840
6,23.018,0.6518
7,28.492,0.8068
8,38.726,1.0966
9,55.622,1.5750
10,81.692,2.3133
11,122.401,3.4660
12,197.939,5.6050
13,321.632,9.1076
14,484.817,13.7285
15,678.820,19.2220
16,898.469,25.4418
17,1139.591,32.2696
18,1398.482,39.6005
19,1671.661,47.3361
20,1955.533,55.3744
21,2245.620,63.5888
22,2532.986,71.7261
23,2805.610,79.4459
24,3055.175,86.5128
25,3276.957,92.7929
26,3467.362,98.1846
27,3623.610,102.6090
28,3743.217,105.9959
29,3823.591,108.2719
30,3861.091,109.3337
31,3849.560,109.0072
32,3786.504,107.2217
33,3691.098,104.5201
34,3583.466,101.4723
35,3467.359,98.1845
36,3345.264,94.7272
37,3219.118,91.1551
38,3090.427,87.5110
39,2960.511,83.8322
40,2830.597,80.1535
41,2701.817,76.5068
42,2575.285,72.9238
43,2452.313,69.4416
44,2334.453,66.1042
45,2222.369,62.9304
46,2115.771,59.9119
47,2014.385,57.0409
