hour,Q_CFS,Q_CMS
0,19.966,0.5654
1,19.933,0.5644
2,19.940,0.5646
3,20.503,0.5806
4,22.846,0.6469
5,28.602,0.8099
6,39.526,1.1193
7,57.478,1.6276
8,84.599,2.3956
9,123.267,3.4905
10,176.667,5.0027
11,252.403,7.1472
12,378.364,10.7141
13,572.720,16.2176
14,822.995,23.3046
15,1116.306,31.6102
16,1444.774,40.9114
17,1802.086,51.0293
18,2182.690,61.8068
19,2581.418,73.0975
20,2992.992,84.7520
21,3410.825,96.5836
22,3821.953,108.2255
23,4209.004,119.1855
24,4560.116,129.1279
25,4869.237,137.8812
26,5132.185,145.3271
27,5345.722,151.3737
28,5506.858,155.9366
29,5612.332,158.9233
30,5657.238,160.1949
31,5633.056,159.5101
32,5536.631,156.7797
33,5394.709,152.7609
34,5235.356,148.2485
35,5064.053,143.3978
36,4884.292,138.3075
37,4698.849,133.0564
38,4509.890,127.7057
39,4319.308,122.3090
40,4128.862,116.9162
41,3940.176,111.5732
42,3754.852,106.3254
43,3574.777,101.2262
44,3402.192,96.3392
45,3238.052,91.6913
46,3081.941,87.2707
47,2933.456,83.0661
