hour,Q_CFS,Q_CMS
0,19.966,0.5654
1,19.933,0.5644
2,19.899,0.5635
3,19.866,0.5625
4,19.833,0.5616
5,19.799,0.5606
6,19.829,0.5615
7,20.405,0.5778
8,22.642,0.6412
9,28.043,0.7941
10,38.626,1.0938
11,58.542,1.6577
12,103.011,2.9169
13,182.226,5.1601
14,289.889,8.2087
15,419.747,11.8859
16,568.332,16.0934
17,733.011,20.7565
18,911.412,25.8083
19,1101.201,31.1825
20,1299.908,36.8092
21,1504.398,42.5997
22,1708.212,48.3711
23,1902.583,53.8751
24,2081.672,58.9463
25,2242.438,63.4987
26,2382.317,67.4596
27,2498.806,70.7582
28,2589.497,73.3263
29,2652.067,75.0981
30,2683.556,75.9897
31,2679.195,75.8662
32,2636.891,74.6683
33,2570.830,72.7977
34,2496.031,70.6796
35,2415.235,68.3917
36,2330.233,65.9847
37,2242.422,63.4982
38,2152.904,60.9634
39,2062.618,58.4068
40,1972.408,55.8523
41,1883.047,53.3219
42,1795.297,50.8371
43,1710.053,48.4232
44,1628.371,46.1103
45,1550.700,43.9109
46,1476.834,41.8192
47,1406.582,39.8299
