simulation,manning_mean,manning_median,depth_mean,depth_median,flooded_area_km2
0,0.05568227320563709,0.0481223231485046,1.1141618490219116,0.9572982788085938,0.651675
1,0.06513639618418171,0.0545428246475694,1.1852370500564575,0.9950599670410156,0.6398499999999999
2,0.05431041027843181,0.054742134010894,1.159504771232605,1.0305976867675781,0.5702499999999999
3,0.04977104990072818,0.0480583190057474,1.253806710243225,0.9690494537353516,0.71
4,0.07061775416216512,0.0505042073390882,1.266568660736084,0.9651412963867188,0.758775
5,0.0667058449633616,0.0576011325229046,1.242946982383728,1.0154495239257812,0.644475
6,0.04783307418987855,0.0323762039762982,1.2298239469528198,1.015960693359375,0.6374
7,0.054121319390436975,0.0439573388534881,1.1921093463897705,0.9886932373046875,0.652775
8,0.03760824186076018,0.0271565140210349,1.1506807804107666,1.011178970336914,0.5938
9,0.06916848652081242,0.0690154355649497,1.2912471294403076,1.1677265167236328,0.78225
10,0.07805016727711526,0.0836015005830859,1.1394201517105103,0.944427490234375,0.6836249999999999
11,0.07722343735595254,0.0872803524991923,1.259631872177124,0.9542331695556641,0.8116
12,0.0713164759501869,0.0712033171552093,1.193595290184021,0.9365692138671875,0.733375
13,0.04332128824639948,0.0455578181363307,1.1681714057922363,1.002218246459961,0.62235
14,0.0583345163820626,0.0525782853085602,1.1995422840118408,1.0396194458007812,0.578275
15,0.07013190955542979,0.0778590710179401,1.1866458654403687,0.9533271789550781,0.6921999999999999
16,0.08031171296430648,0.0946994654806303,1.2272783517837524,0.9330825805664062,0.752525
17,0.04696717883172764,0.0427437860256532,1.0986970663070679,0.9594154357910156,0.6278
18,0.06208469200375823,0.0590561952887376,1.1852951049804688,1.0348129272460938,0.594625
19,0.06699520175207775,0.064970836715986,1.2150495052337646,0.93798828125,0.758475
20,0.05274061459621274,0.0441687524360645,1.2154346704483032,1.0258407592773438,0.615475
21,0.06867934850724139,0.0642567483264997,1.197630763053894,1.0210952758789062,0.6110249999999999
22,0.06287383709607688,0.0501061965118765,1.0990724563598633,0.94671630859375,0.666125
23,0.06044411178640216,0.0378024061166115,1.1724721193313599,0.9524993896484375,0.6825249999999999
24,0.06994592822827299,0.0447090824131919,1.299885630607605,1.0292739868164062,0.65465
25,0.06062247264087056,0.0572985149339615,1.1148924827575684,0.9474105834960938,0.66245
26,0.05042422883075942,0.0396123942262534,1.2842614650726318,0.9859390258789062,0.7278249999999999
27,0.0776932890043229,0.0827884776303449,1.223954677581787,1.0252304077148438,0.6270249999999999
28,0.05762764921726459,0.0570432316803248,1.2033660411834717,0.9302101135253906,0.7496999999999999
29,0.049262743467474245,0.0208521066962212,1.930275797843933,1.3374214172363281,2.1866499999999998
30,0.04164959208565181,0.0269097132310776,1.2366597652435303,0.9461631774902344,0.75955
31,0.05214663555532664,0.0297389381817083,1.3016425371170044,0.9782867431640625,0.782025
32,0.04974984800835169,0.0412531849573838,1.2543761730194092,0.9649505615234375,0.7668499999999999
33,0.0661181629389801,0.0506210964880438,1.2679128646850586,0.952239990234375,0.7616499999999999
34,0.07620049244323415,0.0851552880905615,1.2568793296813965,0.9616546630859375,0.765675
35,0.043752902433227235,0.0445577546097384,1.225199580192566,1.017608642578125,0.640525
36,0.04153168984120962,0.0313100214173687,1.188222885131836,0.9262542724609375,0.744875
37,0.07440350790512065,0.1003496758223628,1.1749786138534546,0.9285392761230469,0.7253
38,0.06023862377449366,0.0573171526655755,1.2586418390274048,0.9792671203613281,0.76105
39,0.059722900858255434,0.0499135005838411,1.0741608142852783,1.0096187591552734,0.51095
40,0.06464138956027489,0.0470626492231933,1.2541061639785767,1.0242843627929688,0.637575
41,0.06064827496712919,0.0656880427939086,1.0558526515960693,0.9697303771972656,0.5773499999999999
42,0.05163232507650966,0.0455301851203557,1.1903774738311768,0.92987060546875,0.7290749999999999
43,0.06145013113193418,0.0366832750100911,1.3306944370269775,0.9872817993164062,0.8428249999999999
44,0.045967314003299585,0.0244784864593725,1.24478280544281,0.9431591033935547,0.7568499999999999
45,0.06804874466403935,0.0658570431491824,1.1776349544525146,1.0007781982421875,0.634575
46,0.03539255866746447,0.0097859594577016,1.4669034481048584,1.3962821960449219,0.87125
47,0.060915000501093414,0.0549144879219625,1.251787781715393,1.052276611328125,0.6034999999999999
48,0.05269090645936732,0.025884826664992,1.227257251739502,0.9461517333984375,0.74025
49,0.06276126032756717,0.0551407302356891,1.130110740661621,0.996978759765625,0.605225
50,0.05658748676335065,0.0355661847277133,1.231308937072754,0.9907989501953125,0.672275
51,0.05474757957466606,0.0472074042447729,1.1563401222229004,0.9890003204345703,0.63605
52,0.056945690909445526,0.0559044435354962,1.1787426471710205,0.9455966949462891,0.69545
