simulation,manning_mean,manning_median,depth_mean,depth_median,flooded_area_km2
0,0.05270145773901613,0.0481223231485046,0.9840900897979736,0.8016262054443359,0.52
1,0.06190724736129449,0.0545428246475694,1.0397167205810547,0.91973876953125,0.53615
2,0.05272360456664436,0.054742134010894,1.035709261894226,0.8988571166992188,0.5292749999999999
3,0.04669410499451106,0.0480583190057474,1.0748724937438965,0.9733314514160156,0.547075
4,0.0662918293646978,0.0561821815390661,1.070603609085083,0.9734764099121094,0.549925
5,0.06198598997922001,0.0576011325229046,1.0701298713684082,0.9657135009765625,0.541825
6,0.043622120320326696,0.0323762039762982,1.0663366317749023,0.959136962890625,0.542575
7,0.05127074180840939,0.0439573388534881,1.0376880168914795,0.9197349548339844,0.5372
8,0.036516550486581326,0.0271565140210349,1.015952229499817,0.874969482421875,0.525875
9,0.06437591520407512,0.0690154355649497,1.0821119546890259,0.9402580261230469,0.52295
10,0.07388274453220164,0.0836015005830859,1.011213779449463,0.8447608947753906,0.5337999999999999
11,0.07063013203254373,0.0872803524991923,1.0470037460327148,0.954315185546875,0.548625
12,0.06513578169305816,0.0712033171552093,1.0341691970825195,0.9235572814941406,0.5413
13,0.040621158333832785,0.0455578181363307,1.0263519287109375,0.8996982574462891,0.5317999999999999
14,0.055923138069801585,0.0525782853085602,1.0611138343811035,0.9152145385742188,0.5236
15,0.06479501342297539,0.0778590710179401,1.0329310894012451,0.9203929901123047,0.53855
16,0.0727991635450139,0.0946994654806303,1.0477310419082642,0.9345684051513672,0.54275
17,0.04470534753083158,0.0427437860256532,0.9796162247657776,0.7812423706054688,0.5152
18,0.06090476632342543,0.0614838347535855,1.0312705039978027,0.9078369140625,0.533775
19,0.06316509191771316,0.0577075633716234,1.0402532815933228,0.9328174591064453,0.53915
20,0.048952511460159845,0.0441687524360645,1.0512701272964478,0.9295902252197266,0.5358999999999999
21,0.06541447849312884,0.0642567483264997,1.0373010635375977,0.9143867492675781,0.534125
22,0.060209143636705716,0.0501061965118765,0.9703072309494019,0.7538528442382812,0.5198499999999999
23,0.0582926986485725,0.052245685266677,1.0314570665359497,0.9085578918457031,0.53155
24,0.06475796975189677,0.0447090824131919,1.1050118207931519,0.9975013732910156,0.55135
25,0.057916802051525336,0.0572985149339615,0.9864234328269958,0.8140525817871094,0.517075
26,0.04765089812919294,0.0396123942262534,1.0878366231918335,0.9926662445068359,0.55345
27,0.07565925692073432,0.077726443869272,1.0583535432815552,0.9515037536621094,0.5384
28,0.05404642911367557,0.0570432316803248,1.0378973484039307,0.9243698120117188,0.538175
29,0.050431792821040884,0.0555115133739047,0.9486513733863831,0.7024211883544922,0.49795
30,0.03927997440210409,0.0358813528363783,1.0547418594360352,0.95306396484375,0.54265
31,0.04756870096877162,0.039725877907488,1.0847935676574707,0.9899063110351562,0.5565249999999999
32,0.046351894364098235,0.0412531849573838,1.0629914999008179,0.9695510864257812,0.547825
33,0.06444935488174393,0.0609542586424348,1.0695606470108032,0.9673690795898438,0.552325
34,0.07102134524775945,0.0851552880905615,1.0633594989776611,0.9637279510498047,0.54615
35,0.04179961615401894,0.0445577546097384,1.056140422821045,0.95062255859375,0.540125
36,0.03810703723054606,0.0313100214173687,1.0264755487442017,0.9081993103027344,0.5357
37,0.06940929814079022,0.0635752494496894,1.0192795991897583,0.8890590667724609,0.5347999999999999
38,0.05794474795886437,0.0573171526655755,1.0724859237670898,0.9843502044677734,0.55465
39,0.05986885110629308,0.0499135005838411,1.0140975713729858,0.8247833251953125,0.5199
40,0.06016518677585937,0.0470626492231933,1.0725592374801636,0.9636344909667969,0.54335
41,0.05956801890904352,0.0656880427939086,0.965127170085907,0.7513580322265625,0.5092749999999999
42,0.04846815381066223,0.0455301851203557,1.0291600227355957,0.9145355224609375,0.536875
43,0.060270236727981846,0.0563373980263428,1.0766644477844238,0.9820442199707031,0.55685
44,0.04437206049305279,0.0352111402042099,1.056931972503662,0.9563636779785156,0.54745
45,0.065241829041649,0.0658570431491824,1.0284613370895386,0.900726318359375,0.535525
46,0.03866105264044043,0.0374601877446039,1.0922813415527344,0.9669837951660156,0.512475
47,0.058006012486981305,0.0549144879219625,1.0733423233032227,0.952789306640625,0.54005
48,0.048583911880904274,0.0334363429994732,1.0521953105926514,0.9579544067382812,0.545725
49,0.06167594121448244,0.0551407302356891,1.0011968612670898,0.8403148651123047,0.52235
50,0.05181090747835822,0.0355661847277133,1.0632603168487549,0.9662837982177734,0.5436
51,0.052467064841367615,0.0472074042447729,1.0158228874206543,0.8813285827636719,0.5273
52,0.05390828610381799,0.0559044435354962,1.0276331901550293,0.9089736938476562,0.53555
53,0.06586342754300964,0.0672838208766961,1.0222128629684448,0.9027824401855469,0.53715
54,0.05106863679189146,0.0329509311539641,1.0283981561660767,0.9028549194335938,0.531675
55,0.04753658851291619,0.0245149243432166,1.062529444694519,0.9559860229492188,0.5461
56,0.042315636046987154,0.0304517289141063,1.0046813488006592,0.8351593017578125,0.5274249999999999
57,0.052860354078654165,0.040126067402212,1.0352972745895386,0.9238204956054688,0.538275
58,0.06000799781781179,0.0627804508856684,1.0099847316741943,0.872650146484375,0.532025
59,0.06236833399107564,0.0553542465825671,1.0334125757217407,0.8864059448242188,0.5302749999999999
60,0.0535384366674598,0.0345904883331372,1.0029290914535522,0.8462066650390625,0.524075
61,0.04682027733257286,0.0348691836340034,1.027713656425476,0.9018478393554688,0.532175
62,0.05444568370967377,0.0428532998251569,1.028316617012024,0.9087142944335938,0.5356
63,0.047977309539064907,0.0475477600046886,1.0581779479980469,0.9440383911132812,0.545275
64,0.04312066114165801,0.0398407850018323,1.0272400379180908,0.9078369140625,0.53315
65,0.06879716675473252,0.0597131311935086,1.0557852983474731,0.9560089111328125,0.544175
66,0.06070079429639991,0.0675952158312669,1.1053768396377563,0.9800338745117188,0.5344249999999999
67,0.06254635539062055,0.0695806591729137,1.0445348024368286,0.9404449462890625,0.54165
68,0.05646672561194751,0.0561520334213696,1.0214829444885254,0.8941116333007812,0.533575
69,0.059542800315059666,0.0566333782441969,1.031010389328003,0.9234466552734375,0.537975
70,0.04890384279496818,0.0505595586676296,1.0548489093780518,0.9336090087890625,0.537925
71,0.03719768793621518,0.0244539018817704,1.032829761505127,0.9170989990234375,0.5364
72,0.05166918774679696,0.0510988541557471,1.0329619646072388,0.8946685791015625,0.5308499999999999
73,0.069539210320265,0.0644040356750096,1.0268001556396484,0.9065322875976562,0.5344
74,0.06700625646365944,0.0714307193358649,1.029478669166565,0.9085464477539062,0.5332749999999999
75,0.07039520615713202,0.0801815546952313,1.0189677476882935,0.8375205993652344,0.50185
76,0.06058222025185573,0.061215566310409,1.047615647315979,0.9206619262695312,0.5363
77,0.04636892115095763,0.0413129524497597,1.0192725658416748,0.8673286437988281,0.53615
78,0.06916828092736842,0.0545756160365726,1.0365104675292969,0.8687782287597656,0.5223
79,0.07245655076799644,0.0716528372610127,1.0210330486297607,0.9005088806152344,0.53615
