simulation,model,metric,value,robust_z
633,0,flooded_area_km2,0.46764999999999995,6.843817017092032
29,1,depth_mean,1.9302067756652832,6.696252346038818
295,1,depth_mean,1.772342324256897,5.212195873260498
724,1,depth_mean,1.8054512739181519,5.523447513580322
755,1,depth_mean,1.8335216045379639,5.787332057952881
