id,x,y
1,240251,3509210
1,239981,3509210
1,239981,3509240
1,239951,3509240
1,239951,3509480
1,239861,3509480
1,239861,3509510
1,239771,3509510
1,239771,3509540
1,239711,3509540
1,239711,3509510
1,239651,3509510
1,239651,3509570
1,239621,3509570
1,239621,3509600
1,239591,3509600
1,239591,3509660
1,239561,3509660
1,239561,3509810
1,239351,3509810
1,239351,3509780
1,239111,3509780
1,239111,3510140
1,239081,3510140
1,239081,3510230
1,239051,3510230
1,239051,3510260
1,239021,3510260
1,239021,3510380
1,238991,3510380
1,238991,3510530
1,238961,3510530
1,238961,3510590
1,238931,3510590
1,238931,3510650
1,238901,3510650
1,238901,3510680
1,238841,3510680
1,238841,3510710
1,238811,3510710
1,238811,3510860
1,238781,3510860
1,238781,3510920
1,238751,3510920
1,238751,3510980
1,238721,3510980
1,238721,3511070
1,238661,3511070
1,238661,3511100
1,238631,3511100
1,238631,3511160
1,238511,3511160
1,238511,3511190
1,238391,3511190
1,238391,3511220
1,238361,3511220
1,238361,3511250
1,238331,3511250
1,238331,3511280
1,238271,3511280
1,238271,3511460
1,238301,3511460
1,238301,3511550
1,238331,3511550
1,238331,3511610
1,238361,3511610
1,238361,3511700
1,238391,3511700
1,238391,3511730
1,238301,3511730
1,238301,3511760
1,238271,3511760
1,238271,3511790
1,238211,3511790
1,238211,3511820
1,238181,3511820
1,238181,3511880
1,238151,3511880
1,238151,3511940
1,238121,3511940
1,238121,3511970
1,238091,3511970
1,238091,3512060
1,238061,3512060
1,238061,3512090
1,238031,3512090
1,238031,3512120
1,238001,3512120
1,238001,3512150
1,237881,3512150
1,237881,3512180
1,237851,3512180
1,237851,3512210
1,237821,3512210
1,237821,3512270
1,237791,3512270
1,237791,3512420
1,237731,3512420
1,237731,3512450
1,237701,3512450
1,237701,3512480
1,237671,3512480
1,237671,3512510
1,237701,3512510
1,237701,3512630
1,237671,3512630
1,237671,3512660
1,237641,3512660
1,237641,3512810
1,237671,3512810
1,237671,3512900
1,237641,3512900
1,237641,3512990
1,237611,3512990
1,237611,3513020
1,237581,3513020
1,237581,3513050
1,237551,3513050
1,237551,3513080
1,237521,3513080
1,237521,3513110
1,237491,3513110
1,237491,3513170
1,237461,3513170
1,237461,3513380
1,237491,3513380
1,237491,3513470
1,237521,3513470
1,237521,3513560
1,237491,3513560
1,237491,3513590
1,237521,3513590
1,237521,3513620
1,237551,3513620
1,237551,3513650
1,237611,3513650
1,237611,3513680
1,237641,3513680
1,237641,3513710
1,237701,3513710
1,237701,3513800
1,237671,3513800
1,237671,3513920
1,237701,3513920
1,237701,3514040
1,237671,3514040
1,237671,3514160
1,237701,3514160
1,237701,3514340
1,237761,3514340
1,237761,3514370
1,237851,3514370
1,237851,3514400
1,237881,3514400
1,237881,3514430
1,237911,3514430
1,237911,3514460
1,237971,3514460
1,237971,3514430
1,238061,3514430
1,238061,3514400
1,238091,3514400
1,238091,3514460
1,238061,3514460
1,238061,3514490
1,238031,3514490
1,238031,3514520
1,238001,3514520
1,238001,3514550
1,237941,3514550
1,237941,3514610
1,237911,3514610
1,237911,3514910
1,237941,3514910
1,237941,3515000
1,237911,3515000
1,237911,3515090
1,237881,3515090
1,237881,3515150
1,237851,3515150
1,237851,3515180
1,237821,3515180
1,237821,3515210
1,237791,3515210
1,237791,3515390
1,237821,3515390
1,237821,3515510
1,237881,3515510
1,237881,3515540
1,237911,3515540
1,237911,3515570
1,237941,3515570
1,237941,3515630
1,237911,3515630
1,237911,3515690
1,237881,3515690
1,237881,3515720
1,237851,3515720
1,237851,3515810
1,237881,3515810
1,237881,3515900
1,237851,3515900
1,237851,3515960
1,237881,3515960
1,237881,3516050
1,237911,3516050
1,237911,3516080
1,237941,3516080
1,237941,3516110
1,238091,3516110
1,238091,3516080
1,238151,3516080
1,238151,3516050
1,238271,3516050
1,238271,3516020
1,238331,3516020
1,238331,3515990
1,238421,3515990
1,238421,3515960
1,238541,3515960
1,238541,3515990
